CODIGO_CLIENTE	NOME_CLIENTE	DATA_NASCIMENTO	EMAIL	TELEFONE_CELULAR	UF
1	Jose A1	30/09/1950	jose a1@email.com	11911111111	SP
2	Jose A2	01/10/1950	jose a2@email.com	11911111112	SP
3	Jose A3	02/10/1950	jose a3@email.com	11911111113	SP
4	Jose A4	03/10/1950	jose a4@email.com	11911111114	SP
5	Jose A5	04/10/1950	jose a5@email.com	11911111115	SP
6	Jose A6	05/10/1950	jose a6@email.com	11911111116	SP
7	Jose A7	06/10/1950	jose a7@email.com	11911111117	SP
8	Jose A8	07/10/1950	jose a8@email.com	11911111118	SP
9	Jose A9	08/10/1950	jose a9@email.com	11911111119	SP
10	Jose A10	09/10/1950	jose a10@email.com	11911111120	SP
11	Jose A11	10/10/1950	jose a11@email.com	11911111121	SP
12	Jose A12	11/10/1950	jose a12@email.com	11911111122	SP
13	Jose A13	12/10/1950	jose a13@email.com	11911111123	SP
14	Jose A14	13/10/1950	jose a14@email.com	11911111124	SP
15	Jose A15	14/10/1950	jose a15@email.com	11911111125	SP
16	Jose A16	15/10/1950	jose a16@email.com	11911111126	SP
17	Jose A17	16/10/1950	jose a17@email.com	11911111127	SP
18	Jose A18	17/10/1950	jose a18@email.com	11911111128	SP
19	Jose A19	18/10/1950	jose a19@email.com	11911111129	SP
20	Jose A20	19/10/1950	jose a20@email.com	11911111130	SP
21	Jose A21	20/10/1950	jose a21@email.com	11911111131	SP
22	Jose A22	21/10/1950	jose a22@email.com	11911111132	SP
23	Jose A23	22/10/1950	jose a23@email.com	11911111133	SP
24	Jose A24	23/10/1950	jose a24@email.com	11911111134	SP
25	Jose A25	24/10/1950	jose a25@email.com	11911111135	SP
26	Jose A26	25/10/1950	jose a26@email.com	11911111136	SP
27	Jose A27	26/10/1950	jose a27@email.com	11911111137	SP
28	Jose A28	27/10/1950	jose a28@email.com	11911111138	SP
29	Jose A29	28/10/1950	jose a29@email.com	11911111139	SP
30	Jose A30	29/10/1950	jose a30@email.com	11911111140	SP
31	Jose A31	30/10/1950	jose a31@email.com	11911111141	SP
32	Jose A32	31/10/1950	jose a32@email.com	11911111142	SP
33	Jose A33	01/11/1950	jose a33@email.com	11911111143	SP
34	Jose A34	02/11/1950	jose a34@email.com	11911111144	SP
35	Jose A35	03/11/1950	jose a35@email.com	11911111145	SP
36	Jose A36	04/11/1950	jose a36@email.com	11911111146	SP
37	Jose A37	05/11/1950	jose a37@email.com	11911111147	SP
38	Jose A38	06/11/1950	jose a38@email.com	11911111148	SP
39	Jose A39	07/11/1950	jose a39@email.com	11911111149	SP
40	Jose A40	08/11/1950	jose a40@email.com	11911111150	SP
